[19-08-2016, 23:18:22] Erro: Código: 42S22 Mensagem: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'name' in 'field list'
[30-08-2016, 23:15:08] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:15:34] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:17:39] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:17:46] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:17:53] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:17:55] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:18:06] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:18:20] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:19:55] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:20:20] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:20:27] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:20:30] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:20:34] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:20:47] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:21:25] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:21:33] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:21:40] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:21:44] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:21:56] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:22:55] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:24:47] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:24:51] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:25:07] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:25:16] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:25:25] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:25:40] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[30-08-2016, 23:26:14] SELECT * FROM users ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:49:02] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:49:02] Erro: Código: 1049 Mensagem: SQLSTATE[HY000] [1049] Unknown database 'dotbueno'
[12-06-2017, 11:49:23] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:49:23] Erro: Código: 1049 Mensagem: SQLSTATE[HY000] [1049] Unknown database 'dotbueno'
[12-06-2017, 11:51:56] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:52:11] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:52:19] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:52:21] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:53:30] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:53:32] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:53:50] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:54:10] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:55:39] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:55:46] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:55:52] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:55:53] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:55:54] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:56:14] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:56:26] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:56:27] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:56:33] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:56:36] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:56:41] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:56:41] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:56:46] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:56:58] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:57:21] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 25
[12-06-2017, 11:58:21] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 1000
[12-06-2017, 11:58:33] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 1000
[12-06-2017, 11:59:23] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 1000
[12-06-2017, 14:32:08] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 1000
[12-06-2017, 14:34:47] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 1000
[12-06-2017, 14:35:11] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 1000
[12-06-2017, 14:35:45] SELECT * FROM banks ORDER BY code ASC LIMIT 0, 1000
[12-06-2017, 14:35:45] Erro: Código: 42S22 Mensagem: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'code' in 'order clause'
[12-06-2017, 14:35:48] SELECT * FROM banks ORDER BY created_at DESC LIMIT 0, 1000
[12-06-2017, 14:35:52] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:36:51] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:39:59] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:40:00] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:40:06] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:40:16] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:45:42] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:46:48] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:46:54] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:46:57] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:47:17] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:48:14] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:48:19] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:49:04] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:49:18] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:49:53] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:50:02] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:50:22] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:50:27] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:50:28] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:51:57] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:52:05] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:52:19] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:52:27] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:52:59] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:54:30] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:55:45] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:57:18] SELECT * FROM banks ORDER BY id ASC LIMIT 0, 1000
[12-06-2017, 14:58:19] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:58:26] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:58:31] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:58:44] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:58:51] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:59:00] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:59:03] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:59:34] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:59:40] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:59:55] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:59:58] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
[12-06-2017, 14:59:59] SELECT * FROM banks ORDER BY id desc LIMIT 0, 1000
